iso3,year,region,income_group,homrates_unodc,homrates_who,deport_convict,deport_convict_d,deport_convict_lead,deport_nonconvict,deport_nonconvict_d,corruption,crime_US_weight,GDP_growth,GDPpercapita_const2010USD_log,gini_mkt,instr_benef_medicaidpregn_lag1,instr_enforce_everify_lag1,,polity2,pop_sh14,population_log,,remittances_GDP,urban_interp,war_intrastate,yr_sch
ARG,2006,Latin America & Caribbean,High income: nonOECD,NA,5.068920044,0.232568788,0.039126562,-0.01444169,1.078213461,-0.557064813,2.5,536.8222803,8.0471515,9.117359924,45.8,0.517707006,0,,8,26.74372056,17.49330101,,0.232474118,91.6,0,9.491122922
ARG,2008,Latin America & Caribbean,High income: nonOECD,NA,4.381738394,0.199076504,-0.01444169,0.085507662,0.777925081,-0.175030476,2.5,511.3854777,4.057233103,9.222775363,43.8,0.503184713,0.023312102,,8,26.27454755,17.51390433,,0.195029381,92,0,9.602964383
ARG,2010,Latin America & Caribbean,High income: nonOECD,NA,4.387624041,0.276663413,0.085507662,-0.032216229,0.6980882,-0.199827137,2.5,438.9152102,10.12539816,9.237591708,42.6,0.587388535,0.081019108,,8,25.87377916,17.53452848,,0.152091368,92.4,0,9.51
ARG,2012,Latin America & Caribbean,High income: nonOECD,NA,4.60807689,0.267483593,-0.032216229,-0.112401681,0.333536724,-0.303752465,2,412.8301656,-1.026420454,9.26462829,41.2,0.607898089,0.081783439,,8,25.57161494,17.55548084,,0.105778682,92.8,0,9.143109772
ARG,2014,Latin America & Caribbean,High income: nonOECD,NA,5.214130851,0.172006024,-0.112401681,NA,0.136865787,-0.128541054,2,411.6975414,-2.512615321,9.242149741,40.2,0.608407643,0.400254777,,8,25.34789199,17.5762807,,0.096015201,93.4,0,8.4331737
ARM,1996,Europe & Central Asia,Lower middle income,NA,4.34780803,0.062741463,0.051389376,0.052919376,NA,NA,NA,NA,5.865400748,7.022762581,45.6,NA,NA,,-6,28.71699048,14.9686789,,9.62636146,65.7,0,10.42634333
ARM,1998,Europe & Central Asia,Lower middle income,NA,3.092056265,0.115403766,0.052919376,0.164527146,NA,NA,NA,NA,7.3,7.144861129,46.6,NA,NA,,5,27.40217404,14.94971004,,8.800002298,65.2,0,10.42938223
ARM,2000,Europe & Central Asia,Lower middle income,NA,3.019682268,0.373208785,0.164527146,-0.161355325,0.194646356,-0.89906384,2,603.5763069,5.9,7.24730952,46.2,NA,NA,,5,25.81111863,14.93705391,,9.529371336,64.7,0,10.44
ARM,2002,Europe & Central Asia,Lower middle income,NA,2.25175661,0.229821044,-0.161355325,1.134564687,0.756471323,0.792594777,1.5,580.5009504,13.18630053,7.474141395,44.7,0.94568907,0,,5,23.87592591,14.92535849,,11.10491554,64.4,0,10.45388372
ARM,2006,Europe & Central Asia,Lower middle income,2.275,NA,0.992998331,-0.353783679,0.565943005,2.658918472,-1.166548797,1.5,526.4922607,13.19800352,7.984065201,43.2,0.950441276,0,,5,20.93016731,14.90019294,,18.31281893,64.1,0,10.52777099
ARM,2008,Europe & Central Asia,Lower middle income,2.92,NA,1.318884076,0.565943005,-0.401172815,1.421166474,-0.887496238,1.5,497.5971826,6.900000002,8.196755862,42.1,0.946367957,0.00407332,,5,19.96348282,14.88305177,,16.32704918,64,0,10.60873649
ARM,2010,Europe & Central Asia,Lower middle income,2.58,1.699249,1.04067347,-0.401172815,0.206470589,2.046049734,0.328675297,1.5,437.4111677,2.199999999,8.076633921,41.5,0.956890699,0.017651052,,5,19.46073956,14.87236674,,18.02684075,64.2,0,10.73
ARM,2012,Europe & Central Asia,Lower middle income,2.285,1.614998596,1.180954216,0.206470589,NA,0.799111465,-1.1479607,1.5,420.5680584,7.200000003,8.19048766,41.7,0.962661236,0.017990496,,5,19.46110963,14.87396799,,18.03301895,64.6,0,10.89924153
ARM,2014,Europe & Central Asia,Lower middle income,2.185,1.172474207,NA,NA,NA,NA,NA,1.5,395.0049559,3.600000001,8.249926159,42.3,0.963340122,0.036659878,,5,19.70270661,14.88236383,,17.90444031,65.1,0,11.12414106
ATG,2000,Latin America & Caribbean,High income: nonOECD,NA,1.196401225,36.31492426,-1.510143591,8.269350633,8.477326758,-6.597249811,NA,581.6214774,6.084634973,9.384855223,NA,NA,NA,,NA,29.51641462,11.33360739,,2.089113988,32.1,0,NA
ATG,2002,Latin America & Caribbean,High income: nonOECD,NA,7.608980351,35.56996032,8.269350633,-12.24581866,7.600741881,-1.382381106,NA,543.4794802,1.087719703,9.310729919,NA,0.663474692,0,,NA,29.05663877,11.36519082,,1.748330316,31.4,0,NA
ATG,2004,Latin America & Caribbean,High income: nonOECD,5.535,5.111258334,33.06504178,-12.24581866,8.21808075,10.81406922,6.667574377,NA,497.6560876,5.811431058,9.403712014,NA,0.667578659,0,,NA,28.57110484,11.38800829,,1.914099983,30.9,0,NA
ATG,2006,Latin America & Caribbean,High income: nonOECD,8.405,2.214814897,32.83755964,8.21808075,-11.67366572,8.357568143,-4.711748482,NA,500.6696306,12.80496079,9.562282088,NA,0.667578659,0,,NA,28.11153808,11.41090381,,1.670322341,30.5,0,NA
ATG,2008,Latin America & Caribbean,High income: nonOECD,19.445,0,32.68029872,-11.67366572,-5.855557335,7.080623213,-2.345160818,NA,472.4273598,0.047676393,9.627767681,NA,0.6374829,0.07250342,,NA,27.40219295,11.43472606,,1.595140859,30.3,0,NA
ATG,2010,Latin America & Caribbean,High income: nonOECD,12.71,NA,24.46791314,-5.855557335,5.784058079,11.18365117,0.93171626,NA,423.6850889,-7.041724676,9.403179437,NA,0.693570451,0.091655267,,NA,26.59807101,11.45805737,,1.752556066,30.3,0,NA
ATG,2014,Latin America & Caribbean,High income: nonOECD,NA,0,14.75190926,-11.65136679,NA,2.555610075,-15.49955051,NA,401.1798906,4.602793308,9.422488909,NA,0.70998632,0.321477428,,NA,24.94766119,11.50161171,,2.244484887,30.7,0,NA
AUS,1996,East Asia & Pacific,High income: OECD,NA,1.706463366,0.02198924,0.005042777,0.036944155,0.0549731,-0.001394739,5,NA,3.948807277,10.57300587,47.5,NA,NA,,10,21.47388158,16.72301253,,0.128887354,86.3,0,11.16964069
AUS,1998,East Asia & Pacific,High income: OECD,NA,1.644276533,0.048296024,0.036944155,0.003864423,0.096480061,0.084343713,5,NA,4.44013975,10.63355704,48,NA,NA,,10,21.17033203,16.74462214,,0.125465672,86.8,0,11.09469132
AUS,2000,East Asia & Pacific,High income: OECD,NA,1.580823496,0.065670973,0.003864423,0.034031853,0.154868272,0.028119959,5,524.3182044,3.867868797,10.69701366,48.5,NA,NA,,10,20.86679961,16.76796992,,0.124765623,87.2,0,11.07
AUS,2002,East Asia & Pacific,High income: OECD,NA,1.523510724,0.094703298,0.034031853,-0.037065004,0.54419581,0.550430478,4.5,507.9051884,3.852927051,10.72824664,48.4,0.58560794,0,,10,20.41911681,16.79365914,,0.118013241,87.6,0,11.15347082
AUS,2004,East Asia & Pacific,High income: OECD,1.62,1.048314421,0.070020409,-0.037065004,0.037007941,0.355418014,-0.469088552,4.5,471.8117528,4.145671395,10.77515531,47.9,0.597338146,0,,10,19.99244151,16.81759263,,0.134467481,88,0,11.30230883
AUS,2006,East Asia & Pacific,High income: OECD,1.32,NA,0.075281739,0.037007941,-0.030743327,0.150778885,-0.084149707,4.5,483.0382585,2.978054386,10.8080839,47.7,0.597338146,0,,10,19.57492527,16.8455428,,0.135751558,88.4,0,11.44917369
AUS,2008,East Asia & Pacific,High income: OECD,1.22,1.116355155,0.083356291,-0.030743327,0.070282289,0.152070463,-0.008967908,4.5,459.6601173,3.698140685,10.85492224,47.7,0.603203248,0.061809159,,10,19.24717979,16.87182981,,0.144601041,88.7,0,11.54120054
AUS,2010,East Asia & Pacific,High income: OECD,1.125,1.185324275,0.111879114,0.070282289,-0.074569782,0.236030493,0.021717295,5,407.2094744,2.005879701,10.85657453,47.9,0.699977442,0.135574103,,10,19.01599833,16.90799515,,0.163138565,89.1,0,11.54
AUS,2012,East Asia & Pacific,High income: OECD,1.08,1.177516024,0.077799515,-0.074569782,0.015126733,0.119980015,-0.075821628,4.5,389.4051432,3.634249616,10.88459906,48.1,0.74351455,0.137604331,,10,18.95650961,16.93911938,,0.156372741,89.6,0,11.40781208
AUS,2014,East Asia & Pacific,High income: OECD,1.04,0.99394209,0.090271094,0.015126733,NA,0.100863909,0.005365582,4.5,375.8281074,2.60945748,10.90401528,48.4,0.744868035,0.304534176,,10,18.83483507,16.97083698,,0.154723454,90.2,0,11.10687678
AUT,1996,Europe & Central Asia,High income: OECD,NA,1.131505896,NA,NA,NA,NA,NA,5,NA,2.398314295,10.52543911,42,NA,NA,,10,17.69440311,15.88981606,,0.41487448,65.7,0,8.8603523
AUT,1998,Europe & Central Asia,High income: OECD,NA,1.003384658,NA,NA,-0.000217674,NA,NA,4,NA,3.559966919,10.57999992,43,NA,NA,,10,17.27875091,15.89204651,,0.649057912,65.7,0,8.916174085
AUT,2000,Europe & Central Asia,High income: OECD,NA,0.893481462,0.087523935,-0.000217674,-0.000434854,0.07501193,-0.012754047,4,532.5823494,3.368407715,10.64404931,43.8,NA,NA,,10,16.82714781,15.89639681,,0.91693057,65.8,0,8.97
AUT,2002,Europe & Central Asia,High income: OECD,NA,0.905595998,0.049615011,-0.000434854,0.048402696,0.185964755,0.172790517,5,512.478241,1.655854943,10.66513924,45,0.595556908,0,,10,16.4492037,15.9051446,,0.930429548,66,0,9.074518873
AUT,2004,Europe & Central Asia,High income: OECD,0.665,0.662585359,0.067417499,0.048402696,-0.001144573,0.128983065,-0.124822675,5,474.5008825,2.705743088,10.68829474,46,0.626597687,0,,10,16.18382084,15.91622007,,0.837804469,66.3,0,9.215504977
AUT,2006,Europe & Central Asia,High income: OECD,0.7,0.812299966,0.096991041,-0.001144573,-0.060699876,NA,NA,5,485.8947352,3.350831358,10.73067416,47.3,0.626597687,0,,10,15.76160251,15.92798072,,0.748868185,66.7,0,9.36242216
AUT,2008,Europe & Central Asia,High income: OECD,0.62,0.601833112,0.066244594,-0.060699876,0.047646767,0.120264893,NA,5,460.6012173,1.547263839,10.77523119,48.5,0.614424833,0.044126598,,10,15.20153678,15.9343526,,0.741323904,67.1,0,9.494353239
AUT,2010,Europe & Central Asia,High income: OECD,0.65,0.616612544,0.071813069,0.047646767,-0.036248342,NA,-0.036773803,5,409.1762934,1.928673056,10.7505796,49.1,0.686244674,0.114120511,,10,14.71666475,15.93937608,,0.761477614,67.6,0,9.6
AUT,2012,Europe & Central Asia,High income: OECD,0.91,0.487605563,0.053516362,-0.036248342,-0.047449635,0.142890993,-0.096032612,4.5,392.1726415,0.7457561,10.77777229,49,0.721850274,0.116250761,,10,14.37363194,15.94730626,,0.739887738,68.4,0,9.668482441
AUT,2014,Europe & Central Asia,High income: OECD,0.6,0.440617869,0.029483305,-0.047449635,NA,0.076484835,-0.000619865,4.5,376.9361229,0.644844832,10.77229179,48.9,0.725806452,0.322276324,,10,14.18815923,15.96045597,,0.732985807,69.5,0,9.688920563
AZE,1998,Europe & Central Asia,Upper middle income,NA,5.733459399,0,NA,0,0,NA,NA,NA,10.00000028,7.238756286,36.7,NA,NA,,-7,32.47152907,15.88401753,,0.141552837,51.4,0,NA
AZE,2000,Europe & Central Asia,Upper middle income,NA,3.883242979,0,0,0,0,0,2,544.6812417,11.09999925,7.398415604,35.5,NA,NA,,-7,31.14772464,15.90100872,,1.083560552,51.2,0,NA
AZE,2002,Europe & Central Asia,Upper middle income,NA,2.60998186,0,0,0,NA,NA,2,518.8503303,10.5999992,7.57835678,33.3,0.775429326,0,,-7,29.2072444,15.91621812,,2.619024475,51.3,0,NA
AZE,2004,Europe & Central Asia,Upper middle income,2.28,2.238444868,0,0,0,NA,NA,2,473.4989432,10.2000004,7.76531291,31.5,0.820343461,0,,-7,27.22893988,15.9325489,,2.345241089,51.4,0,NA
AZE,2006,Europe & Central Asia,Upper middle income,2.215,NA,0,0,0,NA,NA,1.5,483.5270806,34.49999951,8.2747797,31.8,0.820343461,0,,-7,25.42730495,15.95375742,,3.765968878,51.6,0,NA
AZE,2008,Europe & Central Asia,Upper middle income,1.95,NA,0,0,0,NA,NA,1.5,454.9601057,10.77242078,8.568285723,32.8,0.782034346,0.018494055,,-7,23.8639419,15.98609452,,3.107983275,51.7,0,NA
AZE,2010,Europe & Central Asia,Upper middle income,1.98,NA,0,0,0,NA,NA,1.5,414.0442536,4.854339324,8.672966403,NA,0.84676354,0.067371202,,-7,22.83534812,16.01875388,,2.66582974,51.9,0,NA
BEL,1996,Europe & Central Asia,High income: OECD,NA,1.828019143,0.049277035,NA,-0.0198258,0.073949252,NA,5,NA,1.593571255,10.48518837,47.6,NA,NA,,10,17.8739601,16.13363794,,1.758269732,96.9,0,10.07781526
BEL,1998,Europe & Central Asia,High income: OECD,NA,1.878751579,0.029434519,-0.0198258,0.09741071,0.058837613,0.048826166,3,NA,1.975511603,10.53662594,48.3,NA,NA,,10,17.72186199,16.13819314,,1.613265669,97,0,10.19140871
BEL,2000,Europe & Central Asia,High income: OECD,NA,2.080791684,0.102521278,0.09741071,-0.068746206,NA,-0.029679833,3,539.4850861,3.633841364,10.60261346,48.6,NA,NA,,10,17.5658063,16.14291021,,1.683278983,97.1,0,10.29
BEL,2002,Europe & Central Asia,High income: OECD,NA,1.89137105,0.053337332,-0.068746206,0.037891222,0.11144841,0.096317479,4,520.7868994,1.780253197,10.62042086,49,0.566183137,0,,10,17.34949302,16.15083241,,1.749958289,97.2,0,10.40978401
BEL,2004,Europe & Central Asia,High income: OECD,2.38,1.547933616,0.115441922,0.037891222,-0.058036787,0.187348606,0.113837767,4,482.7511333,3.634776681,10.65532448,49.3,0.60199456,0,,10,17.22207872,16.15934671,,1.767991381,97.3,0,10.53470837
BEL,2006,Europe & Central Asia,High income: OECD,2.085,1.469851478,0.05236237,-0.058036787,-0.005242211,0.104662005,-0.173879614,3.5,493.832185,2.499134928,10.68864103,49,0.60199456,0,,10,17.09802292,16.17144284,,1.773011808,97.3,0,10.63598545
BEL,2008,Europe & Central Asia,High income: OECD,1.925,1.336348726,0.0351622,-0.005242211,0.031566379,NA,NA,3.5,469.3031732,0.747284182,10.71425355,48.7,0.578422484,0.063009973,,8,16.97482729,16.18668592,,2.020648129,97.4,0,10.69233818
BEL,2010,Europe & Central Asia,High income: OECD,1.735,1.157486557,0.046016501,0.031566379,0.016629079,0.221283546,NA,5,415.6265639,2.695144611,10.70054955,48.5,0.690389846,0.128739801,,8,16.88274124,16.20386831,,2.140532096,97.4,0,10.69
BEL,2012,Europe & Central Asia,High income: OECD,1.895,1.244867626,0.072118316,0.016629079,-0.045189851,0.072216535,-0.166355834,5,396.3415231,0.137051659,10.69859713,48.4,0.732094288,0.131459655,,8,16.9275548,16.22499712,,2.134184339,97.4,0,10.61553091
BEL,2014,Europe & Central Asia,High income: OECD,1.845,NA,0.044669586,-0.045189851,NA,0.058062089,-0.00038871,5,382.9605168,1.646183423,10.7070657,48.5,0.733454216,0.334088849,,8,16.95943217,16.23223267,,2.151622639,97.2,0,10.45549092
BFA,2006,Sub-Saharan Africa,Low income,0.615,NA,0.022022372,0.006344741,0.019151609,0.080419591,NA,2,NA,6.253158604,6.240279599,44,NA,NA,,0,46.5122328,16.44229119,,1.162356169,22.3,0,NA
BFA,2008,Sub-Saharan Africa,Low income,0.815,NA,0.034455534,0.019151609,-0.021620533,0.072419343,-0.019545489,2,NA,7.29449815,6.305328015,42.7,NA,NA,,0,46.43230241,16.5026589,,1.186909983,23.9,0,NA
BFA,2010,Sub-Saharan Africa,Low income,0.615,NA,0.026123521,-0.021620533,-0.00112066,0.035833905,-0.04964918,2,NA,8.446325183,6.355146179,41.4,NA,NA,,0,46.22335595,16.56311584,,1.340147182,25.7,0,NA
BFA,2012,Sub-Saharan Africa,Low income,0.63,NA,0.00905184,-0.00112066,-0.018103681,0.030540019,0.004166794,2,NA,6.452674754,6.420793764,40.3,NA,NA,,0,46.08176008,16.62317777,,1.880633726,27.6,0,NA
BGD,2004,South Asia,Lower middle income,2.635,NA,0.015702855,0.00827266,0.000272796,0.062300311,0.017815434,1,472.1453859,5.23953291,6.346226951,41.1,0.7522174,0,,6,34.98739264,18.76644885,,5.504373149,25.3,0,5.095343996
BGD,2006,South Asia,Lower middle income,2.695,NA,0.01488759,0.000272796,-0.00370972,0.087596478,0.010895875,1.5,477.7206454,6.671868265,6.445796293,41.3,0.7522174,0,,6,33.99668128,18.79477904,,7.557205064,26.2,0,5.381554288
BGD,2008,South Asia,Lower middle income,2.7,NA,0.0142075,-0.00370972,0.004349716,0.071327836,-0.022882656,2.5,448.6650123,6.013789759,6.549028076,41.1,0.727873184,0.039063974,,-6,33.06048512,18.81815275,,9.757161286,27.1,0,5.654131432
BGD,2010,South Asia,Lower middle income,2.72,NA,0.013536541,0.004349716,-0.002931017,0.052573356,-0.018535641,3,413.0003019,5.571802274,6.630250254,40.9,0.829779204,0.066616343,,5,32.11403903,18.84037153,,9.412125648,28.1,0,5.91
BGD,2012,South Asia,Lower middle income,2.62,NA,0.015517604,-0.002931017,0.004722307,0.036508622,-0.013288095,3,402.7811096,6.521435078,6.73282278,NA,0.852424986,0.067937347,,5,31.00598455,18.86361537,,10.58794022,29.1,0,6.145959991
BGD,2014,South Asia,Lower middle income,2.82,NA,0.012273129,0.004722307,NA,0.030261608,0.000469342,3,383.987658,6.061093054,6.826719968,NA,0.853179845,0.23608228,,1,29.95621306,18.88696044,,8.669052862,30.2,0,6.358811405
BGR,1996,Europe & Central Asia,Upper middle income,NA,4.890408332,0.05960387,NA,0.061170529,0.214869183,NA,4,NA,1.599999963,8.259013446,34.6,NA,NA,,8,17.38276954,15.93930697,,0.410508862,68,0,8.934278786
BGR,1998,Europe & Central Asia,Upper middle income,NA,4.151328064,0.090592727,0.061170529,0.025634838,0.66458831,0.585025677,4,NA,3.499999833,8.295114925,34.6,NA,NA,,8,16.50194088,15.92654597,,0.346359925,68.4,0,9.062126884
BGR,2000,Europe & Central Asia,Upper middle income,NA,3.224090169,0.128214756,0.025634838,0.05675975,0.445571129,-0.455862095,3,561.9150474,5.010949436,8.29681976,34.8,NA,NA,,8,15.66025702,15.91600052,,0.442919167,68.9,0,9.28
BGR,2002,Europe & Central Asia,Upper middle income,NA,2.958728083,0.183098043,0.05675975,-0.035892175,0.416960985,0.043202102,2,540.9203397,6.018122264,8.43847566,35,0.616113744,0,,9,14.72373935,15.87438721,,7.193927621,69.4,0,9.684587235
BGR,2004,Europe & Central Asia,Upper middle income,3.155,2.846709785,0.148488407,-0.035892175,-0.023942408,0.704443105,0.473671968,2,499.7025276,6.555566547,8.56696938,35.1,0.641390205,0,,9,13.91727055,15.8589181,,6.602009975,69.9,0,10.19467337
BGR,2006,Europe & Central Asia,Upper middle income,2.515,2.148446635,0.163704997,-0.023942408,0.015251029,0.792610905,-0.222591199,2,512.1589258,6.753133915,8.717306663,35.2,0.641390205,0,,9,13.45594121,15.84379327,,5.003537655,70.4,0,10.68567902
BGR,2008,Europe & Central Asia,Upper middle income,2.315,1.821712067,0.225818135,0.015251029,0.083054153,0.818153532,0.170442928,2,488.314218,5.647005366,8.860562428,35.3,0.625987362,0.049763033,,9,13.25097389,15.82942122,,3.526338383,70.9,0,11.05859853
BGR,2010,Europe & Central Asia,Upper middle income,2.005,1.77143075,0.208963088,0.083054153,0.084948133,0.835320052,-0.123666619,2,428.5599131,0.054557923,8.831019986,35.5,0.70221169,0.112954186,,9,13.2622468,15.81639565,,2.633687374,71.5,0,11.24
BGR,2012,Europe & Central Asia,Upper middle income,1.835,1.412831541,0.273079858,0.084948133,-0.093328728,0.545487772,-0.360266978,2,406.1656398,0.030943608,8.862502992,35.7,0.734992101,0.112954186,,9,13.50529788,15.80419116,,2.687938038,72.2,0,11.15756343
BGR,2014,Europe & Central Asia,Upper middle income,1.555,NA,0.275915806,-0.093328728,NA,0.207172229,-0.147768538,2,389.7813586,1.328849722,8.895568316,35.9,0.735781991,0.301737757,,9,13.82524167,15.79291079,,2.969646419,73.1,0,10.73896882
BHR,2000,Middle East & North Africa,High income: nonOECD,NA,0.834182828,0,NA,0,NA,NA,3,NA,5.299994794,10.04129513,NA,NA,NA,,-9,30.14110446,13.4069617,,NA,88.4,0,7.48
BHR,2002,Middle East & North Africa,High income: nonOECD,NA,0.354731725,0,0,NA,NA,0.408081094,2,NA,3.614148289,10.00053854,NA,NA,NA,,-7,28.04945399,13.50782712,,NA,88.4,0,7.421199794
BHS,1996,Latin America & Caribbean,High income: nonOECD,NA,14.71963559,21.79914906,4.398799878,-0.165581162,4.79595505,0.624078483,4,NA,4.22353068,9.988843772,NA,NA,NA,,NA,31.20511646,12.55598981,,NA,81.2,0,NA
BHS,1998,Latin America & Caribbean,High income: nonOECD,NA,16.63553761,20.08495629,-0.165581162,12.81156796,4.329870447,1.302855265,4,NA,4.716473825,10.0334894,NA,NA,NA,,NA,30.21305937,12.57784308,,NA,81.6,0,NA
BHS,2000,Latin America & Caribbean,High income: nonOECD,NA,19.77143548,29.02771882,12.81156796,-3.908968619,6.773138355,0.544522539,4,695.0544782,4.1492464,10.1165124,NA,NA,NA,,NA,29.30611971,12.60447957,,NA,82,0,NA
BHS,2002,Latin America & Caribbean,High income: nonOECD,NA,16.49538694,31.34776954,-3.908968619,-2.89103516,7.814452169,4.979617806,4,663.5482605,2.704629513,10.13199195,51,0.175425611,0,,NA,27.76938578,12.64160452,,NA,82.4,0,NA
BHS,2004,Latin America & Caribbean,High income: nonOECD,14.735,14.73891218,34.3635314,-2.89103516,-9.206649741,10.96169108,1.1212154,4,616.3559585,0.882884233,10.08571943,50.7,0.179866765,0,,NA,26.37337765,12.68393903,,NA,82.9,0,NA
BHS,2006,Latin America & Caribbean,High income: nonOECD,16.98,17.13654753,28.34745994,-9.206649741,3.26919497,8.435756349,-4.623240134,4,624.3052554,2.516863841,10.10354448,50.4,0.179866765,0,,NA,25.16302891,12.72436036,,NA,83.3,0,NA
BHS,2008,Latin America & Caribbean,High income: nonOECD,21.865,23.02124614,22.2749975,3.26919497,1.147683259,6.949659637,-0.252321472,4,600.5506292,-2.324172373,10.05685196,50.2,0.168763879,0.067357513,,NA,24.08080854,12.7618984,,NA,83.7,0,NA
